Site,DATE,TIME,AUTO ID*
RECCON,3/21/2021,22:55:40,TADBRA
RECCON,3/21/2021,22:46:29,TADBRA
RECCON,3/22/2021,1:38:35,NoID
RECCON,3/22/2021,19:22:42,NYCHUM
RECCON,3/24/2021,19:09:34,EPTFUS
RECCON,3/24/2021,19:36:59,LASBOR
RECCON,3/24/2021,22:39:19,LASNOC
RECCON,3/24/2021,19:05:20,NoID
RECCON,3/24/2021,5:41:53,NoID
RECCON,3/24/2021,19:24:01,NoID
RECCON,3/25/2021,1:27:27,LASCIN
RECCON,3/25/2021,0:49:37,LASNOC
RECCON,3/25/2021,1:56:32,NoID
RECCON,3/25/2021,1:46:50,NoID
RECCON,3/25/2021,2:33:26,NoID
RECCON,3/25/2021,4:14:41,NoID
RECCON,3/25/2021,4:58:01,NoID
RECCON,3/26/2021,20:03:41,LASCIN
RECCON,3/26/2021,5:20:48,NoID
RECCON,3/26/2021,22:40:46,NoID
RECCON,3/26/2021,20:18:38,NoID
RECCON,3/26/2021,21:45:39,NYCHUM
RECCON,3/27/2021,19:23:29,EPTFUS
RECCON,3/27/2021,22:14:23,LASCIN
RECCON,3/27/2021,6:08:35,LASCIN
RECCON,3/27/2021,19:06:52,NYCHUM
RECCON,3/28/2021,0:50:16,NoID
RECCON,4/1/2021,20:24:45,NoID
RECCON,4/3/2021,22:05:12,LASCIN
RECCON,4/4/2021,19:20:19,EPTFUS
RECCON,4/4/2021,20:08:51,EPTFUS
RECCON,4/4/2021,19:42:24,LASNOC
RECCON,4/5/2021,19:34:25,EPTFUS
RECCON,4/5/2021,18:56:58,EPTFUS
RECCON,4/5/2021,20:39:12,EPTFUS
RECCON,4/5/2021,21:21:58,LASBOR
RECCON,4/5/2021,19:24:33,LASNOC
RECCON,4/5/2021,19:59:09,NoID
RECCON,4/5/2021,19:24:20,NoID
RECCON,4/5/2021,18:53:17,NYCHUM
RECCON,4/5/2021,19:37:23,TADBRA
RECCON,4/6/2021,1:22:34,EPTFUS
RECCON,4/6/2021,22:03:03,EPTFUS
RECCON,4/6/2021,20:54:21,EPTFUS
RECCON,4/6/2021,22:30:14,LASBOR
RECCON,4/6/2021,20:05:44,LASCIN
RECCON,4/6/2021,22:36:11,NoID
RECCON,4/6/2021,22:20:49,NoID
RECCON,4/6/2021,20:48:10,NoID
RECCON,4/6/2021,23:52:30,NoID
RECCON,4/6/2021,20:47:45,PERSUB
RECCON,4/7/2021,20:22:00,EPTFUS
RECCON,4/7/2021,19:56:12,LASBOR
RECCON,4/7/2021,0:06:09,LASBOR
RECCON,4/7/2021,2:08:03,LASBOR
RECCON,4/7/2021,0:06:17,LASBOR
RECCON,4/7/2021,1:01:39,LASBOR
RECCON,4/7/2021,22:37:43,LASCIN
RECCON,4/7/2021,19:48:56,NoID
RECCON,4/7/2021,4:12:10,NoID
RECCON,4/7/2021,19:50:43,NoID
RECCON,4/7/2021,4:11:43,NoID
RECCON,4/7/2021,20:04:25,NoID
RECCON,4/7/2021,20:06:02,NoID
RECCON,4/7/2021,20:07:54,NoID
RECCON,4/7/2021,20:08:20,NoID
RECCON,4/7/2021,20:26:30,NoID
RECCON,4/7/2021,20:31:27,NoID
RECCON,4/7/2021,20:44:53,NoID
RECCON,4/7/2021,3:52:35,NoID
RECCON,4/7/2021,21:23:32,NoID
RECCON,4/7/2021,21:54:57,NoID
RECCON,4/7/2021,0:09:00,NoID
RECCON,4/7/2021,23:48:09,NoID
RECCON,4/7/2021,22:36:25,NoID
RECCON,4/7/2021,21:15:25,NYCHUM
RECCON,4/7/2021,23:42:49,NYCHUM
RECCON,4/7/2021,23:06:09,NYCHUM
RECCON,4/7/2021,21:16:01,NYCHUM
RECCON,4/7/2021,21:15:05,NYCHUM
RECCON,4/7/2021,3:52:28,NYCHUM
RECCON,4/7/2021,20:04:36,PERSUB
RECCON,4/7/2021,22:03:28,PERSUB
RECCON,4/7/2021,21:57:02,TADBRA
RECCON,4/8/2021,1:51:12,EPTFUS
RECCON,4/8/2021,19:54:56,EPTFUS
RECCON,4/8/2021,1:32:18,EPTFUS
RECCON,4/8/2021,21:46:51,EPTFUS
RECCON,4/8/2021,20:49:30,LASBOR
RECCON,4/8/2021,19:50:53,LASBOR
RECCON,4/8/2021,22:04:23,LASBOR
RECCON,4/8/2021,1:42:51,LASBOR
RECCON,4/8/2021,22:15:38,LASBOR
RECCON,4/8/2021,19:47:24,NoID
RECCON,4/8/2021,21:17:22,NoID
RECCON,4/8/2021,20:13:23,NoID
RECCON,4/8/2021,20:42:35,NoID
RECCON,4/8/2021,21:09:18,NoID
RECCON,4/8/2021,3:20:22,NoID
RECCON,4/8/2021,21:47:04,NoID
RECCON,4/8/2021,20:36:09,NoID
RECCON,4/8/2021,0:53:52,NoID
RECCON,4/8/2021,22:06:56,NoID
RECCON,4/8/2021,0:52:32,NoID
RECCON,4/8/2021,20:49:14,NoID
RECCON,4/8/2021,0:19:00,NoID
RECCON,4/8/2021,22:19:52,NoID
RECCON,4/8/2021,22:21:30,NoID
RECCON,4/8/2021,22:31:16,NoID
RECCON,4/8/2021,22:32:15,NoID
RECCON,4/8/2021,23:15:56,NoID
RECCON,4/8/2021,23:38:39,NoID
RECCON,4/8/2021,23:22:52,NoID
RECCON,4/8/2021,20:38:08,NYCHUM
RECCON,4/8/2021,23:54:45,NYCHUM
RECCON,4/8/2021,21:05:23,NYCHUM
RECCON,4/8/2021,21:09:12,NYCHUM
RECCON,4/8/2021,5:14:48,NYCHUM
RECCON,4/8/2021,20:50:17,NYCHUM
RECCON,4/8/2021,2:17:06,NYCHUM
RECCON,4/8/2021,20:10:37,PERSUB
RECCON,4/8/2021,1:50:55,TADBRA
RECCON,4/8/2021,21:55:49,TADBRA
RECCON,4/8/2021,23:02:59,TADBRA
RECCON,4/8/2021,23:50:44,TADBRA
RECCON,4/8/2021,23:37:04,TADBRA
RECCON,4/9/2021,0:35:24,EPTFUS
RECCON,4/9/2021,4:47:39,LASBOR
RECCON,4/9/2021,0:09:51,LASBOR
RECCON,4/9/2021,4:10:04,LASBOR
RECCON,4/9/2021,2:37:20,NoID
RECCON,4/9/2021,1:12:50,NoID
RECCON,4/9/2021,2:41:13,NoID
RECCON,4/9/2021,0:50:48,NoID
RECCON,4/9/2021,2:48:24,NoID
RECCON,4/9/2021,2:09:48,NoID
RECCON,4/9/2021,2:55:02,NoID
RECCON,4/9/2021,3:04:07,NoID
RECCON,4/9/2021,0:22:12,NoID
RECCON,4/9/2021,1:59:17,NoID
RECCON,4/9/2021,3:24:28,NoID
RECCON,4/9/2021,3:31:33,NoID
RECCON,4/9/2021,3:32:06,NoID
RECCON,4/9/2021,4:24:28,NoID
RECCON,4/9/2021,4:31:47,NoID
RECCON,4/9/2021,4:00:37,NoID
RECCON,4/9/2021,4:38:06,NoID
RECCON,4/9/2021,20:19:53,NoID
RECCON,4/9/2021,4:54:51,NoID
RECCON,4/9/2021,4:56:17,NoID
RECCON,4/9/2021,5:21:57,NoID
RECCON,4/9/2021,5:18:42,NoID
RECCON,4/9/2021,5:00:49,NoID
RECCON,4/9/2021,5:01:52,NoID
RECCON,4/9/2021,3:24:52,NYCHUM
RECCON,4/9/2021,3:20:39,NYCHUM
RECCON,4/9/2021,1:06:02,NYCHUM
RECCON,4/9/2021,0:33:07,NYCHUM
RECCON,4/9/2021,3:19:58,NYCHUM
RECCON,4/9/2021,3:02:06,NYCHUM
RECCON,4/9/2021,3:16:42,NYCHUM
RECCON,4/9/2021,4:26:55,NYCHUM
RECCON,4/9/2021,5:15:46,NYCHUM
RECCON,4/9/2021,3:31:39,NYCHUM
RECCON,4/9/2021,4:53:15,NYCHUM
RECCON,4/9/2021,3:24:58,NYCHUM
RECCON,4/9/2021,2:52:36,NYCHUM
RECCON,4/9/2021,5:08:48,NYCHUM
RECCON,4/9/2021,4:49:02,TADBRA
RECCON,4/9/2021,2:38:55,TADBRA
RECCON,4/10/2021,0:45:27,LASBOR
RECCON,4/10/2021,20:14:57,NoID
RECCON,4/10/2021,20:10:10,NoID
RECCON,4/10/2021,5:27:35,NoID
